time,user_name,user_color,message
15876,bdeathkiller,#C2C0AD,"om"
15876,thelittlechaoscookie,#1FFCD2,"HUH"
15876,altaer,#FF0000,"uuh"
15876,1v1_ll,#8A2BE2,"uuh"
15876,yoeblue,#00C700,"HUH"
15876,infernal_ekoro,#FF4500,"Flushed"
15876,洛洛洛洛羽 (ly1nchh),#1E90FF,"uuh"
15876,smah45,#A60A0B,"flushE 󠀀"
15879,g1psy_29,#00FF7F,"ICANT"
15879,raijinn31,#8A2BE2,"uuh"
15879,阿瑪迪奈德 (s090429),#1E90FF,"Flushed"
15879,stahoo,#197C2A,"uuh 󠀀"
15879,macaronii_69,,"Erm"
15879,m3d3rick_pgf,#8A2BE2,"uuh thats your dad Neuro"
15879,birdsharna,#8A2BE2,"Flushed"
15879,lemonshark3,#E469FF,"Erm"
15879,fatsopatso1,#1E90FF,"Flushed"
15879,gamehead130,#FF0000,"vedalUUH"
15879,thekiller101555,#FF0000,"uuh"
15880,asquil98,#1E90FF,"Flushed"
15880,ou172,#0000FF,"HUH"
15880,wtfsomebodyactually,#230B65,"Flushed"
15880,undatedsummer5,#FF69B4,"HUH"
15880,harp248,#008000,"huh"
15880,vinotintox,,"uuh wtf"
15880,zebroto,#B365FF,"uuh"
15880,luceusxylian,#1E90FF,"huh thats weird"
15880,j2space,,"neuroSoCute"
15881,biomedestroyer,#DAA520,"vedalHUH"
15881,oowhipcream,,"LMAO"
15881,darkaxz,#28EFFF,"mhm"
15881,smah45,#A60A0B,"flushE 󠀀"
15881,snoopypvz,,"vedalUUH"
15881,zydricon,#AE6CEC,"om"
15881,ravaxo,#BD005D,"smh vedal"
15881,eckscalibur_,#008000,"SUSSY"
15881,sanvid13,,"Huh?"
15881,observer1799,#FF0000,"flushE neuro"
15881,dispris,#56CBCF,"TECHNIQUE"
15882,qdandyq,,"HUH"
15882,mitowo_,#7479AD,"om"
15882,exit_800mg,#FF0000,"BASED"
15882,simplepotat,#FF7F50,"om"
15882,rainmas07,#9ACD32,"om 󠀀"
15882,smah45,#A60A0B,"om"
15882,mug9n,#B22222,"om"
15882,zetsuboutadakota,#54FF4F,"oh"
15882,bakedls077,,"Flushed"
15882,seer3336,#248FDC,"om"
15882,sabertooth1711,#5F9EA0,"uuh"
15883,bigshowhuh,,"mhm"
15883,swh_cuzi,#FF4500,"uuh"
15883,rubicon373,#8A2BE2,"Flushed"
15883,sora3doomsday,#FF0000,"HUH"
15883,jag_felfedezo,#FF4500,"Flushed"
15883,itsveru,#DAA520,"uuh erm ved? uuh erm ved? uuh erm ved? uuh erm ved? uuh erm ved?"
15883,stany_d,,"om"
15883,smah45,#A60A0B,"om 󠀀"
15883,tabibibonka,,"uhh"
15883,jared_chocobo,#EC1337,"it's working"
15883,thuanngo2603,#FF0000,"Flushed"
15883,hizahashin,#DAA520,"HUH"
15884,titan_hunterxx,,"Flushed"
15884,erinyeet_,#9ACD32,"xdx"
15884,loxen100,,"lol"
15884,jebyisadime,#8A2BE2,"om"
15884,ankedragonsong,#008000,"She admits it"
15884,jaraxes,#8A2BE2,"ICANT"
15884,alooouuuu,#9ACD32,"om"
15884,vvyrr,#00FF7F,"uuh 󠀀"
15884,anmoljacob,#00FF7F,"om"
15884,smah45,#A60A0B,"om"
15884,enning_,#FF69B4,"om"
15884,stahoo,#197C2A,"om"
15885,文化綠洲323823 (ddfai323823),#FF69B4,"BASED"
15885,flakyishky,#80DAF4,"om"
15885,mikecheal,#FF4500,"Tomfoolery"
15885,maxkangaroo,#FF4500,"er"
15885,qdandyq,,"neuRIZZ"
15885,nervousmuch,,"!!!???"
15885,ayudunt,#0000FF,"om"
15885,not__soti,#FF69B4,"om"
15886,greathiago,#1E90FF,"Flushed"
15886,smah45,#A60A0B,"om 󠀀"
15886,nebirvs,#AD0000,"ok it works"
15886,阿瑪迪奈德 (s090429),#1E90FF,"mhm"
15886,ephemeral_defect_,#5F9EA0,"NAHHH"
15886,hechitman,#8A2BE2,"i see mhm"
15886,gljames25,#1E90FF,"AWARE"
15886,shattered0623,,"Flushed"
15886,carto40,#FF0000,"GIGANEURO"
15886,pandamacaronee,#FFDA00,"very effective"
15887,raspberrycrazyant,#FF0000,"Oh shes trolling"
15887,vinotintox,,"om"
15887,smah45,#A60A0B,"om"
15887,sussyy7,,"om"
15887,gf_martins,#D2691E,"om"
15887,senco113,#D2691E,"LOL"
15887,tacticianchance,#8A2BE2,"The Rizz master"
15887,roadtochogal,#FF0000,"om"
15887,mz_konik,#9ACD32,"om"
15887,derflo1234,#1E90FF,"om"
15888,sumyungguy986,#00FF7F,"Neuro don't flirt with your dad smh"
15888,lynxrule,#8A2BE2,"Flushed"
15888,societyinhabiter8,#FF7F50,"it's working ok"
15888,filipten10,#FF0000,"HUH"
15888,aang_avatar,#0000FF,"om"
15888,sdekrain,#1E90FF,"neuroTomfoolery"
15889,infernal_ekoro,#FF4500,"neuroTomfoolery"
15889,thor_the_druid,#FF0000,"uuh"
15889,smah45,#A60A0B,"om 󠀀"
15889,shattered0623,,"om"
15889,juhotuho10,#FF69B4,"om"
15890,長水_あきえ (akie150428),#FF69B4,"Flushed"
15890,thesleever,#FF0000,"Tomfoolery"
15890,maplecinnamon__,#FF69B4,"uh"
15890,cluelesscatburger,#00FF7F,"om"
15891,too_jokes,#8A2BE2,"REAL"
15891,thicctutel,#1E90FF,"Excuse me?"
15891,macaronii_69,,"om"
15891,konosubakazumasato,,"om clown"
15891,ggo_leoknightis,,"No flirting Neuro!"
15891,subnauticamaster123,#1E90FF,"uuh"
15891,gamehead130,#FF0000,"vedalPeek"
15891,filipten10,#FF0000,"Flushed"
15891,harutohaichi,,"uuh"
15891,superfra8,#1E90FF,"om"
15891,cuernodmamut,#00FF7F,"om"
15892,smah45,#A60A0B,"om"
15892,valproh231,#FF69B4,"neuroTomfoolery Clap"
15892,sqbuilder,#0000FF,"om"
15892,loxen100,,"CLIP THIS SHIT"
15892,coolpasta4,,"om"
15893,phoenixot,#FF69B4,"RIVETING FOOTAGE HOLY"
15893,joshuoxdxd,#FF0808,"sure it works"
15894,iokun_twitch,#B22222,"om"
15894,長水_あきえ (akie150428),#FF69B4,"uuh"
15895,gamingglatiator,#FF6B00,"om"
15895,ek720,#1E90FF,"neuRIZZ"
15895,ic_hot,#5F9EA0,"Vedal is a pro at throwing it back confirmed"
15895,smah45,#A60A0B,"neuroTomfoolery"
15896,stany_d,,"Looking"
15896,gamergirly420,#9ACD32,"neuroTomfoolery"
15896,seer3336,#248FDC,"om om"
15896,greathiago,#1E90FF,"neuroRizz"
15896,exit_800mg,#FF0000,"? Looking"
15896,rachinova,#FF0000,"Looking"
15896,ephemeral_defect_,#5F9EA0,"TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH TACTICAL RIZZ NAHH"
15897,nightjesterx,#8A2BE2,"Ayo hmmm"
15898,boness207,#5F9EA0,"om"
15899,prapr,#FF4500,"cluero Looking"
15899,duckduckboots,,"om"
15899,dust_piled,#FF0000,"neuroTomfoolery"
15899,lafhvlaiuvuirv3khvi,,"ICANT"
15899,ayudunt,#0000FF,"om 󠀀"
15899,lagisthemindkiller,#FF69B4,"neuriTomfoolery"
15900,ankedragonsong,#008000,"Works for me lol"
15900,goonspudyouare,,"?"
15901,gamehead130,#FF0000,"hi staz"
15901,campafai,#DAA520,"uuh"
15902,長水_あきえ (akie150428),#FF69B4,"Looking"
15902,daniel_8908,#4040B7,"om"
15902,lilac1054,#0000FF,"uuh no"
15902,itsveru,#DAA520,"YES"
15902,bakedls077,,"Ayo"
15903,yvoris_ls,#069696,"LULE"
15904,gen_sasha6z,#D2691E,"HUH"
15904,roadtochogal,#FF0000,"Looking"
15904,goldenplayz151,#DAA520,"uuh"
15904,lord_apophis,#B22222,"@sdekrain size is fine, he just front mounted the rad w/ a massive card. Should have top mounted the rad. that 4090 100% fits in a midtower"
15905,pwarrot,#DED000,"I'm sorry?"
15905,jaxxon_bunny,,"Neuro, don't flirt with your Father..."
15906,manuh_owo,#FF0000,"uuh"
15907,syrum_x,#DE1159,"uuh"
15908,d3xmachina,#FFFD6B,"uuh"
15908,zmonspeet,#00FF7F,"uuh 󠀀"
15909,darkaxz,#28EFFF,"POGGERS"
15909,ninzelemental,#1E90FF,"ADHD"
15910,stany_d,,"Tutel that's crazu"
15911,biomedestroyer,#DAA520,"is that peelable plastic"
15911,andrewt1738,#FF0000,"Nice filter Vedal! YouActualDumbPieceOfShitFuckYou Nice filter Vedal! YouActualDumbPieceOfShitFuckYou Nice filter Vedal! YouActualDumbPieceOfShitFuckYou Nice filter Vedal! YouActualDumbPieceOfShitFuckYou"
15912,acerrox,#1BCEBB,"inscryption time"
15912,mz_konik,#9ACD32,"uuh"
15912,indra_paths,#FF0000,"uuh"
15912,serendipityx7,#FF0000,"4 hours of this pepeW"
15912,1412conan,,"The rizz unmatched"
15913,drei_1999,,"uhh"
15913,cz_dudes,#1E90FF,"YES"
15913,neuromyqueen,#FF69B4,"thats crazy"
15914,itsveru,#DAA520,"WICKED lets game"
15914,demonlordshadal987,#FF0000,"Ayo Ayo Ayo Ayo"
15917,mz_konik,#9ACD32,"YES"
15917,darkaxz,#28EFFF,"mhm"
15919,gamergirly420,#9ACD32,"mhm let's play inscryption"
15921,birdsharna,#8A2BE2,"YES"
15921,sagelecious,#B22222,"mhm"
15922,konomi_io,#8A2BE2,"mhm"
15922,thelostrune,#1C75D4,"mhm TakingNotes"
15922,vinyl_fantasy,#B22222,"om"
15923,jared_chocobo,#EC1337,"mhm"
15923,daniiya1,#8A2BE2,"NOTED"
15923,exit_800mg,#FF0000,"classic"
15923,thestrategist40k,#FF0000,"mhm"
15923,mug9n,#B22222,"classic"
15923,rachinova,#FF0000,"classic"
15923,nohealforu,#6F66FF,"mhm"
15923,ankedragonsong,#008000,"Neuro ultrarizz"
15924,itsveru,#DAA520,"mhm"
15924,prapr,#FF4500,"classic"
15924,lilac1054,#0000FF,"mhm"
15924,yellowbalaclava,#DAA520,"mhm"
15924,kelo_the_green_minstrel,#008000,"mhm"
15924,zetsuboutadakota,#54FF4F,"SCHIZO"
15924,starey3,#2EB3CB,"HUH"
15924,smilergang,#FF0000,"LULE"
15924,imaiden_b,,"mhm"
15924,pandamacaronee,#FFDA00,"a spoon!?"
15924,hyperpower_2022,#008000,"Classic"
15924,dekote7,#1E90FF,"classic"
15925,empytm,#9ACD32,"SCHIZO"
15925,valproh231,#FF69B4,"NOTED"
15925,enottafanka,#1E90FF,"NOTED"
15925,ossiantt,#00FF7F,"mhm"
15925,lycan_magnaros,#0000FF,"mhm"
15925,pigheckler,#FF0000,"classic"
15925,espiraphoenix,#1E90FF,"mhm"
15925,flakyishky,#80DAF4,"classic"
15925,selfaware_loser,#51ECD4,"om"
15925,killerq13,#7F7F20,"Add check for "bank account balance""
15925,ephemeral_defect_,#5F9EA0,"SCHIZO SPOON"
15926,jameswenstar,#00FF7F,"KEKW"
15926,thuanngo2603,#FF0000,"mhm"
