time,user_name,user_color,message
0,threegale_,#FF0000,"LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY kryeg14"
0,arkiva77,#FF0000,"neuroOnline"
0,enottafanka,#1E90FF,"neuroOnline"
0,ktreus,#0000FF,"RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE RAGEY LATE"
1,mug9n,#B22222,"neuroOnline"
2,ih3lp,#00FF7F,"neuroOnline"
2,sussyinowo,#8A2BE2,"HELLO"
3,el_shashin,#1E90FF,"neuroOnline"
3,rosr97_,#FF8280,"Pog"
3,vinyl_fantasy,#B22222,"neuroOnline"
3,loogigi,#1E90FF,"pogs"
4,ryodragon7,#173497,"neuroOnline"
4,spytes,#00118F,"neuroOnline"
4,filipten10,#FF0000,"!lastseen vedal987"
4,feelmycake,#B22222,"neuroOnline"
5,scyrade,#FF4500,"neuroOnline"
5,ag_no3,#FF7F50,"neuroOnline"
5,f4v_cerx,#00FF7F,"neuroOnline"
6,nebirvs,#AD0000,"neuroOnline"
6,observer1799,#FF0000,"neuroOnline"
6,lucierrgg,#9ACD32,"neuroOnline"
6,infernal_ekoro,#FF4500,"neuroOnline"
6,winwirzar,#FF00DE,"neuroOnline"
7,plemith,#8A2BE2,"boop"
7,gamehead130,#FF0000,"neuroOnline"
7,kyubey9,#8A2BE2,"neuroOnline"
7,ragadagadeng,#1E90FF,"neuroOnline"
8,aserorion,#8A2BE2,"neuroOnline"
8,prapr,#FF4500,"neuroOnline"
9,zmrc68,,"Wokege"
9,shillianne,#8A2BE2,"neuroOnline"
10,el_shashin,#1E90FF,"om"
10,tacocat_reversed,,"Aloo"
10,acerrox,#1BCEBB,"smh missing audio"
11,phoenixlink1,#FF69B4,"classic"
11,jaylineleffel,#8A2BE2,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer"
12,kelo_the_green_minstrel,#008000,"neuroOnline"
12,kristina_bee,#1E90FF,"neuroOnline"
12,ikkisoad,#DAA520,"neuroOnline"
13,melako__motoda,#FF0000,"neuroOnline"
13,dd_maru,#FF7400,"neuroOnline"
13,fizo5,#8F1414,"neuroOnline"
13,karmsrs,#0482FF,"neuroOnline"
13,stany_d,,"neuroOnline"
14,derelictplayer,#DAA520,"neuroOnline"
14,celestialastrox,#FF0000,"neuroOnline"
14,yeetzgaming20,#0000FF,"neuroOnline"
14,silenceisforever,#1E90FF,"fumoListening"
15,thefantastic_j,,"CHAT"
15,rosr97_,#FF8280,"Aloo EDM"
15,silverfox215,#1E90FF,"neuroOnline"
15,poneytienne,#F39BEB,"neuroOnline"
15,xhm_099,#FF0000,"Pog yes it's neuro"
16,crossbow7734,#00FF7F,"WE BALL"
16,rachinova,#FF0000,"buh"
16,mug9n,#B22222,"nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM"
17,kaiser_xeno_,#0000FF,"raaah"
18,ahiruga,#0000FF,"RAGEY ON TIME"
18,novastar5,#FF0000,"neuroOnline"
18,siegfriedcs,#008000,"neuroOnline"
18,rndmscreen,#8A2BE2,"neuroOnline"
19,johnarkas,#9ACD32,"hello"
19,bellibonz,#FF0000,"neuroOnline"
19,nervechan,#0000FF,"neuroOnline"
19,blargarble,#FF4500,"neuroOnline"
19,evaeva2100,#8A2BE2,"nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM"
20,am_i_cursed,#1E90FF,"vedalCheer vedalNURU vedalDance vedalNURU vedalCheer"
20,choosemonika,#2E8B57,"neuroOnline"
21,phil009876543,#B22222,"neuroOnline"
21,threegale_,#FF0000,"neuroOnline"
22,imperium_infinitum,#FF0000,"neuroOnline"
22,m4st4rfun,,"neuroOnline"
22,majerhun,#FF0000,"Hi"
22,anist_,#FF7F50,"neuroOnline"
22,el_shashin,#1E90FF,"what was that discord disconnect sound lmao"
22,phoenixlink1,#FF69B4,"neuroOnline"
23,blocktime48,#FF0000,"BlockTime48 subscribed at Tier 1. They've subscribed for 9 months, currently on a 8 month streak! neuroOnline"
23,stupidbastird,#5F9EA0,"NOWAYING he woke up on time"
23,lexant41,#DAA520,"neuroOnline"
24,filipten10,#FF0000,"neuroOnline"
24,nervechan,#0000FF,"DinoDance DinoDance DinoDance DinoDance"
24,yeetzgaming20,#0000FF,"nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM"
24,smitheth,#05A687,"vedalDance vedalDance vedalDance vedalDance"
25,picklesjs,,"neuroOnline"
25,bassttv,#FF004D,"neuroOnline"
25,evaeva2100,#8A2BE2,"nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM  nweroJam  EDM   󠀀"
26,wisurubi,#D2691E,"peepoArrive"
26,gold_spirit,#DAA520,"neuroOnline"
26,adesi_,#D2691E,"nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM"
26,tygah_,#FF4081,"neuroOnline"
26,majerhun,#FF0000,"neuroOnline"
27,desemond,#FF0000,"neuroOnline"
27,lucierrgg,#9ACD32,"YOASOBI NURU NURU"
28,eokeo,#9ACD32,"neuroOnline"
28,ragged_potato,,"neuroOnline"
29,threegale_,#FF0000,"same 5 songs Dance"
29,1tz_sastification,,"neuroOnline"
29,rosr97_,#FF8280,"nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM nweroJam EDM"
30,crossbow7734,#00FF7F,"neuroOnline"
30,vilan_orthank,#008000,"neuroOnline"
31,thelostrune,#1C75D4,"NOWAYING ads in the intro and not in the actual stream"
32,iamsuchasimp,#6F0505,"neuroOnline"
32,dote305,,"vedalWave vedalWave vedalWave"
32,christianh2000,#DAA520,"neuroOnline"
33,juhotuho10,#FF69B4,"neuroOnline"
34,real7r,#8A2BE2,"neuroOnline"
34,tirtronixx,#1E90FF,"neuroOnline"
34,nezttor012,#008000,"neuroOnline"
34,anmoljacob,#00FF7F,"neuroOnline"
36,greencomfytea,#9ACD32,"neuroOnline"
36,cluelesscatburger,#00FF7F,"neuroOnline"
38,blackbirdgunner,#1E90FF,"neuroOnline"
38,electricbeep,#2297B3,"neuroOnline"
38,filipten10,#FF0000,"juh"
39,stetig,#00FF7F,"neuroOnline"
39,mirelurkking,#00FF7F,"neuroOnline"
39,jabajabajebejebe_2,,"minibotHype"
39,viridipullum,#DAA520,"neuroOnline"
39,quillip_opiba,#8A2BE2,"neuroOnline"
39,real7r,#8A2BE2,"vedalWave vedalWave vedalWave"
39,蔣顥誠 (alexlturing),,"neuroOnline"
39,glitchybutters,#1E90FF,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer"
40,albertunderscore,#DAA520,"neuroOnline"
41,threegale_,#FF0000,"neuroOnline FirstMessage0"
41,oleccy,#B22222,"neuroOnline"
42,viak21,#1E90FF,"neuroOnline"
42,silenceisforever,#1E90FF,"neuroOnline"
42,kherex_765,,"neuroOnline"
43,realbe1,#90FFD9,"EDM"
43,eriserial,#5F9EA0,"neuroOnline"
44,nimbus6,#1E90FF,"neuroOnline"
44,creampuff_soup,,"neuro Online"
44,543evermaster,#FF0000,"yoooo"
44,ilhatepotatoes,,"YO"
44,maisatraisat,#FF4500,"neuroOnline"
44,th3_thomy,#FF0000,"seanvrRavesean"
45,speload,#FF0000,"neuroOnline"
45,ermenjoyer,#FF0000,"neuroOnline"
47,brayanx2,#008000,"nyanPls"
47,kasaber_,,"neuroOnline"
48,cpydwmul,#2E8B57,"buh"
48,透抽抽 (touchou0421),#1E90FF,"neuroOnline"
48,mateo690,#FF69B4,"lawendHype lawendHype lawendHype lawendHype"
48,bisroko,#FF0000,"neuroOnline"
48,devilkezza,#0000FF,"spukycRAVE1 minibotCheer minibotCheer spukycRAVE1"
48,kyllch,#008000,"neuroOnline"
49,tirtronixx,#1E90FF,"Dance same 5 intro songs"
49,ragadagadeng,#1E90FF,"Ragadagadeng subscribed with Prime. They've subscribed for 13 months! vedalWave"
49,izzabella33,#1E90FF,"LuvSign LuvSign LuvSign"
49,speload,#FF0000,"Dance same 5 intro songs"
49,slugwin99,,"Slugwin99 subscribed at Tier 1. They've subscribed for 20 months, currently on a 20 month streak! "
49,sarin_becken,,"neuroOnline"
49,gamehead130,#FF0000,"neuroOnline vedalNURU"
49,eksifyt,#00FFE2,"👋🏻"
50,sprodardorne,#B22222,"vedalDance"
50,bkychblu_caxap_c_pblhka,#FF0000,"WutFace"
50,tarpin2104,#00FF7F,"neuroOnline"
50,some_pancakes,#C88542,"neuroOnline"
50,prilkrevan,#FF69B4,"neuroOnline"
50,henryex,#FF0000,"neuroOnline"
50,someguynooneknows,#1FFBFF,"neuroOnline"
51,cpydwmul,#2E8B57,"Erm"
51,blargarble,#FF4500,"catJam"
51,joshewki,#8A2BE2,"neuroOnline"
52,quemleleu,#62DEB4,"neuroOnline"
52,leiathrix,#FF69B4,"neuroOnline"
52,jwjedi74,#1E90FF,"neuroOnline"
53,mellowkero,#8888AA,"neuroOnline"
53,clive3310,#8A2BE2,"Phew"
53,ryoace,#2E8B57,"neuroOnline"
53,joelikesblue,#1E90FF,"Anny Solo stream xd"
53,daemon_n,#DAA520,"neuroOnline"
53,chunmeru,#8A2BE2,"neuroOnline"
53,feelmycake,#B22222,"neuroOnline 󠀀"
54,stetig,#00FF7F,"Stetig subscribed with Prime. They've subscribed for 7 months! "
54,speload,#FF0000,"Dance  same 5 intro songs"
54,solkaon,#1E90FF,"neuroOnline"
54,threegale_,#FF0000,"same 5 songs Dance"
54,evils_slave,#B22222,"vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
54,zenron21,#FF0000,"neuroOnline"
54,brayanx2,#008000,"My favorite song PagMan"
